Ion Number	Delta E (keV)	E_res (keV)
388	1300.63	29.54
389	1311.17	29.89
390	1320.82	19.86
391	1320.11	9.99
393	1300.12	27.81
394	1300.83	19.74
395	1300.95	39.55
397	1320.20	29.66
398	1300.18	19.77
399	1320.33	19.85
401	1320.97	19.62
402	1311.37	19.21
403	1310.66	19.87
404	1321.27	9.84
405	1310.25	39.79
406	1330.03	9.97
408	1320.83	19.84
410	1330.87	19.64
411	1321.12	9.83
412	1290.80	39.27
413	1320.39	29.61
415	1310.71	29.71
416	1340.18	9.74
418	1320.07	19.85
419	1330.94	19.88
420	1290.75	29.69
421	1310.04	29.85
423	1301.36	29.71
424	1300.09	29.53
426	1300.65	29.97
427	1321.20	19.93
428	1340.82	10.00
429	1320.18	19.98
431	1340.01	10.00
432	1310.57	18.96
433	1301.28	19.64
434	1320.28	19.77
435	1309.92	9.96
437	1310.40	15.81
439	1311.09	18.71
442	1330.10	19.92
443	1310.74	19.86
445	1300.85	19.78
446	1300.16	39.58
447	1290.65	39.36
449	1320.63	19.98
450	1291.46	39.75
458	1330.54	9.83
459	1331.12	9.95
460	1321.12	19.85
461	1311.04	29.97
462	1311.03	19.73
463	1310.73	19.78
464	1320.20	9.39
465	1320.42	19.85
466	1320.31	19.66
467	1331.04	19.89
468	1320.84	19.67
471	1300.97	29.62
473	1310.99	29.93
474	1300.34	39.89
475	1301.14	19.96
476	1310.29	29.77
477	1331.17	9.97
478	1310.88	19.07
480	1291.85	39.96
483	1291.67	39.56
486	1300.64	29.90
487	1310.09	29.55
489	1330.03	9.97
490	1290.58	38.62
491	1310.80	29.32
492	1320.44	29.83
493	1310.23	19.70
494	1311.54	28.25
495	1301.43	39.77
496	1320.43	9.84
497	1290.18	29.80
498	1311.13	29.74
499	1321.15	9.85
501	1300.37	29.82
502	1300.04	29.55
503	1330.86	19.79
504	1300.88	39.86
505	1300.80	19.99
506	1330.33	9.87
507	1291.78	39.44
508	1311.32	19.24
509	1301.84	29.57
510	1320.36	19.84
511	1281.05	49.34
513	1311.28	29.68
514	1320.82	9.81
516	1301.02	29.75
517	1310.48	9.97
519	1320.24	19.86
521	1290.34	39.72
522	1310.40	19.86
523	1301.70	29.60
524	1310.08	19.89
526	1311.19	19.75
527	1321.08	29.74
529	1330.16	9.71
530	1300.53	29.89
531	1320.96	19.69
532	1320.17	8.27
533	1311.17	19.96
534	1320.50	19.47
535	1310.85	29.83
537	1311.54	19.68
539	1330.42	9.80
541	1310.33	29.53
542	1340.42	9.87
544	1320.95	8.36
545	1311.39	29.44
546	1310.24	18.20
547	1292.93	39.60
548	1321.33	9.99
549	1310.23	19.68
551	1301.09	27.49
553	1331.41	9.86
555	1310.85	19.95
558	1330.89	9.87
560	1310.18	29.48
561	1311.30	18.87
562	1311.06	29.90
564	1321.26	19.64
565	1320.62	19.99
566	1301.07	29.93
